,Apartment,Address,Price Range
0,Greenbriar Village,"238 Randolph Dr, Madison, WI 53717","$1,240 - $1,895"
1,Park Village,"2305 S Park St, Madison, WI 53713","$1,130 - $1,640"
2,The Urbana,"5577 Odana Rd, Madison, WI 53719","$1,335 - $1,810"
3,Maple Grove Apartments,"3021 Maple Valley Dr, Madison, WI 53719","$1,250 - $1,900"
4,Renew Madison,"6701-6785 Schroeder Rd, Madison, WI 53711","$1,365 - $1,985"
5,Country Meadows Apartments,"6840 Schroeder Rd, Madison, WI 53711","$1,030 - $1,415"
6,Kensington Pointe Apartments,"405-415 Moorland Rd, Madison, WI 53713","$1,260 - $1,480"
7,Timberlake Village Apartments,"7425 Timber Lake Trail, Madison, WI 53719","$1,065 - $1,460"
8,Arbor Hills,"2809 Curry Pkwy, Madison, WI 53713","$1,199 - $1,629"
9,Sycamore Woods,"2517 Pheasant Ridge Trl, Madison, WI 53717","$1,175 - $1,594"
10,Westhaven Village Apartments,"3145 Muir Field Rd, Madison, WI 53719","$930 - $1,650"
11,Bristol Arms,"2506 McDivitt Rd, Madison, WI 53713","$1,130 - $1,259"
12,Fairhaven Court Apartments,"6749 Fairhaven Rd, Madison, WI 53719","$1,300 - $1,750"
13,13 Captains Court Unit 8,"13 Captains Court Unit #8, Madison, WI 53719","$1,400"
14,Ochalla Springs,"2974 Ochalla Dr, Fitchburg, WI 53713","$1,295+ - $1,775+"
15,Terrace Point,"3101 Fish Hatchery Rd, Fitchburg, WI 53713","$1,290+ - $2,180+"
16,Midtown Terrace,"8002 Starr Grass Dr, Madison, WI 53719","$1,435+ - $2,310"
17,The Edge at Terravessa,"4888 Brassica Rd, Fitchburg, WI 53711","$1,395 - $2,995"
18,The Ridge Apartments,"620 W Badger Rd, Madison, WI 53713","$985 - $1,155"
